year,month,avg_temp
1920,1,15.2
1920,2,16.7
1920,3,18.1
1920,4,21.2
1920,5,22.6
1920,6,26.9
1920,7,28.2
1920,8,28.0
1920,9,26.9
1920,10,23.6
1920,11,21.3
1920,12,18.2
1921,1,16.4
1921,2,15.9
1921,3,17.6
1921,4,21.7
1921,5,23.5
1921,6,26.5
1921,7,27.6
1921,8,28.0
1921,9,26.1
1921,10,22.7
1921,11,19.6
1921,12,17.7
1922,1,16.2
1922,2,16.8
1922,3,18.3
1922,4,20.5
1922,5,23.7
1922,6,26.2
1922,7,27.9
1922,8,27.3
1922,9,26.7
1922,10,23.7
1922,11,20.1
1922,12,16.3
1923,1,15.6
1923,2,16.0
1923,3,
1923,4,
1923,5,
1923,6,
1923,7,
1923,8,28.1
1923,9,26.9
1923,10,24.1
1923,11,21.1
1923,12,17.8
1924,1,16.6
1924,2,16.3
1924,3,16.7
1924,4,21.3
1924,5,
1924,6,25.0
1924,7,26.9
1924,8,26.7
1924,9,25.5
1924,10,24.4
1924,11,18.9
1924,12,16.7
1925,1,15.9
1925,2,14.8
1925,3,16.4
1925,4,18.4
1925,5,23.3
1925,6,26.2
1925,7,27.5
1925,8,27.3
1925,9,25.9
1925,10,22.4
1925,11,20.3
1925,12,16.4
1926,1,15.2
1926,2,15.9
1926,3,16.9
1926,4,19.3
1926,5,22.5
1926,6,24.1
1926,7,28.1
1926,8,28.4
1926,9,27.3
1926,10,23.2
1926,11,20.3
1926,12,17.0
1927,1,16.1
1927,2,16.0
1927,3,17.2
1927,4,19.7
1927,5,22.1
1927,6,24.6
1927,7,27.7
1927,8,28.2
1927,9,26.5
1927,10,23.6
1927,11,20.4
1927,12,18.0
1928,1,16.7
1928,2,15.9
1928,3,17.7
1928,4,19.8
1928,5,23.0
1928,6,24.8
1928,7,27.8
1928,8,27.3
1928,9,26.8
1928,10,23.6
1928,11,20.7
1928,12,18.0
1929,1,16.1
1929,2,15.7
1929,3,16.9
1929,4,20.0
1929,5,22.4
1929,6,25.8
1929,7,27.4
1929,8,27.6
1929,9,26.0
1929,10,23.2
1929,11,19.8
1929,12,19.0
1930,1,17.0
1930,2,17.2
1930,3,18.5
1930,4,22.1
1930,5,23.9
1930,6,26.2
1930,7,27.7
1930,8,27.5
1930,9,26.3
1930,10,23.8
1930,11,20.0
1930,12,18.6
1931,1,17.1
1931,2,18.3
1931,3,18.2
1931,4,20.6
1931,5,23.0
1931,6,25.1
1931,7,28.4
1931,8,28.2
1931,9,27.1
1931,10,24.2
1931,11,22.0
1931,12,18.1
1932,1,16.2
1932,2,15.2
1932,3,15.6
1932,4,19.4
1932,5,24.5
1932,6,25.6
1932,7,28.1
1932,8,27.1
1932,9,25.9
1932,10,23.1
1932,11,20.1
1932,12,18.0
1933,1,15.7
1933,2,16.6
1933,3,17.2
1933,4,20.8
1933,5,23.3
1933,6,26.4
1933,7,27.4
1933,8,27.6
1933,9,26.5
1933,10,23.9
1933,11,20.7
1933,12,17.9
1934,1,14.3
1934,2,14.9
1934,3,16.1
1934,4,20.0
1934,5,22.4
1934,6,26.0
1934,7,28.1
1934,8,27.7
1934,9,27.1
1934,10,23.8
1934,11,20.5
1934,12,18.7
1935,1,15.8
1935,2,16.8
1935,3,18.1
1935,4,20.7
1935,5,23.0
1935,6,24.9
1935,7,27.3
1935,8,27.8
1935,9,25.9
1935,10,23.7
1935,11,21.4
1935,12,18.0
1936,1,14.7
1936,2,15.3
1936,3,15.5
1936,4,20.5
1936,5,23.0
1936,6,26.4
1936,7,28.0
1936,8,27.8
1936,9,26.7
1936,10,23.7
1936,11,21.0
1936,12,18.4
1937,1,17.2
1937,2,17.2
1937,3,18.3
1937,4,21.3
1937,5,23.7
1937,6,25.5
1937,7,27.7
1937,8,26.6
1937,9,26.5
1937,10,24.3
1937,11,22.0
1937,12,17.9
1938,1,16.3
1938,2,15.1
1938,3,17.7
1938,4,20.0
1938,5,24.3
1938,6,27.3
1938,7,27.8
1938,8,27.1
1938,9,26.7
1938,10,24.8
1938,11,20.1
1938,12,18.3
1939,1,15.9
1939,2,16.5
1939,3,17.8
1939,4,19.6
1939,5,22.4
1939,6,25.3
1939,7,26.7
1939,8,26.5
1939,9,25.2
1939,10,23.6
1939,11,21.6
1939,12,17.4
1940,1,15.2
1940,2,16.1
1940,3,17.1
1940,4,18.5
1940,5,21.6
1940,6,24.9
1940,7,27.2
1940,8,27.0
1940,9,26.7
1940,10,25.2
1940,11,22.2
1940,12,18.2
1941,1,17.1
1941,2,17.6
1941,3,18.5
1941,4,20.4
1941,5,23.8
1941,6,25.7
1941,7,28.2
1941,8,27.0
1941,9,26.5
1941,10,23.5
1941,11,21.2
1941,12,19.0
1942,1,15.7
1942,2,17.3
1942,3,20.1
1942,4,21.2
1942,5,23.2
1942,6,26.6
1942,7,28.7
