year,month,avg_temp
1920,1,-2.0
1920,2,-6.3
1920,3,-0.2
1920,4,6.4
1920,5,11.1
1920,6,16.4
1920,7,21.3
1920,8,22.5
1920,9,15.7
1920,10,9.5
1920,11,4.6
1920,12,-4.1
1921,1,-6.1
1921,2,-5.0
1921,3,-1.7
1921,4,6.8
1921,5,9.9
1921,6,14.5
1921,7,20.4
1921,8,21.2
1921,9,17.0
1921,10,9.8
1921,11,2.2
1921,12,-3.0
1922,1,-10.2
1922,2,-2.2
1922,3,-2.5
1922,4,6.4
1922,5,9.9
1922,6,15.5
1922,7,19.9
1922,8,21.2
1922,9,16.8
1922,10,11.3
1922,11,3.4
1922,12,-3.5
1923,1,-7.1
1923,2,-5.8
1923,3,-0.3
1923,4,4.7
1923,5,10.7
1923,6,14.4
1923,7,18.8
1923,8,21.0
1923,9,17.0
1923,10,10.3
1923,11,3.7
1923,12,-2.4
1924,1,-6.3
1924,2,-5.7
1924,3,-4.3
1924,4,6.6
1924,5,9.5
1924,6,14.9
1924,7,22.7
1924,8,22.2
1924,9,16.7
1924,10,9.3
1924,11,4.0
1924,12,-3.8
1925,1,-5.4
1925,2,-5.5
1925,3,-3.6
1925,4,5.0
1925,5,10.6
1925,6,17.0
1925,7,18.8
1925,8,22.6
1925,9,17.7
1925,10,10.7
1925,11,3.9
1925,12,-1.4
1926,1,-6.2
1926,2,-3.6
1926,3,-1.1
1926,4,3.3
1926,5,10.0
1926,6,14.5
1926,7,18.9
1926,8,19.9
1926,9,17.1
1926,10,7.8
1926,11,2.8
1926,12,-2.9
1927,1,-5.8
1927,2,-7.5
1927,3,-1.5
1927,4,7.0
1927,5,10.0
1927,6,14.7
1927,7,21.0
1927,8,22.0
1927,9,16.2
1927,10,11.0
1927,11,4.7
1927,12,-2.9
1928,1,-5.2
1928,2,-6.4
1928,3,-0.4
1928,4,5.7
1928,5,11.6
1928,6,14.7
1928,7,20.5
1928,8,22.7
1928,9,18.5
1928,10,11.1
1928,11,4.4
1928,12,-3.8
1929,1,-7.0
1929,2,-6.2
1929,3,-1.7
1929,4,3.7
1929,5,10.1
1929,6,14.3
1929,7,21.4
1929,8,21.3
1929,9,15.6
1929,10,11.2
1929,11,3.2
1929,12,-1.6
1930,1,-7.2
1930,2,-4.1
1930,3,0.5
1930,4,5.7
1930,5,10.9
1930,6,15.0
1930,7,20.2
1930,8,22.2
1930,9,17.3
1930,10,10.8
1930,11,3.0
1930,12,-4.3
1931,1,-7.7
1931,2,-7.9
1931,3,-0.4
1931,4,4.3
1931,5,9.2
1931,6,13.4
1931,7,16.0
1931,8,21.3
1931,9,17.1
1931,10,10.4
1931,11,4.2
1931,12,-2.6
1932,1,-2.5
1932,2,-5.6
1932,3,-1.2
1932,4,5.4
1932,5,11.5
1932,6,15.9
1932,7,18.5
1932,8,19.8
1932,9,16.3
1932,10,11.3
1932,11,5.2
1932,12,-1.6
1933,1,-6.8
1933,2,-7.2
1933,3,-3.6
1933,4,4.3
1933,5,11.5
1933,6,15.2
1933,7,22.4
1933,8,22.8
1933,9,16.6
1933,10,9.2
1933,11,3.7
1933,12,-2.1
1934,1,-4.9
1934,2,-4.9
1934,3,-1.6
1934,4,4.9
1934,5,10.9
1934,6,16.7
1934,7,17.7
1934,8,19.6
1934,9,16.0
1934,10,9.3
