year,month,avg_temp
1920,1,4.1
1920,2,2.6
1920,3,6.6
1920,4,12.6
1920,5,16.8
1920,6,20.3
1920,7,26.1
1920,8,25.7
1920,9,21.4
1920,10,16.4
1920,11,12.0
1920,12,5.2
1921,1,4.0
1921,2,3.5
1921,3,6.2
1921,4,13.8
1921,5,16.4
1921,6,18.8
1921,7,24.3
1921,8,25.3
1921,9,21.3
1921,10,15.4
1921,11,9.3
1921,12,5.0
1922,1,0.6
1922,2,7.0
1922,3,6.6
1922,4,13.3
1922,5,16.8
1922,6,21.7
1922,7,25.0
1922,8,27.3
1922,9,23.4
1922,10,16.8
1922,11,10.8
1922,12,4.0
1923,1,1.7
1923,2,3.0
1923,3,7.9
1923,4,12.0
1923,5,16.8
1923,6,20.4
1923,7,24.0
1923,8,27.2
1923,9,
1923,10,16.8
1923,11,12.0
1923,12,5.6
1924,1,2.7
1924,2,4.5
1924,3,5.0
1924,4,14.7
1924,5,16.9
1924,6,19.4
1924,7,26.1
1924,8,26.2
1924,9,21.8
1924,10,15.4
1924,11,9.9
1924,12,5.2
1925,1,2.9
1925,2,2.4
1925,3,6.2
1925,4,11.9
1925,5,16.1
1925,6,20.1
1925,7,23.2
1925,8,25.7
1925,9,22.9
1925,10,16.3
1925,11,11.4
1925,12,6.8
1926,1,3.1
1926,2,4.6
1926,3,6.3
1926,4,11.1
1926,5,16.3
1926,6,19.0
1926,7,24.6
1926,8,26.3
1926,9,23.2
1926,10,15.0
1926,11,9.8
1926,12,4.1
1927,1,2.7
1927,2,2.1
1927,3,6.3
1927,4,13.5
1927,5,17.1
1927,6,20.5
1927,7,26.0
1927,8,26.6
1927,9,21.2
1927,10,16.7
1927,11,11.2
1927,12,5.5
1928,1,3.6
1928,2,3.3
1928,3,6.9
1928,4,12.5
1928,5,17.8
1928,6,20.3
1928,7,23.4
1928,8,24.1
1928,9,23.9
1928,10,16.7
1928,11,11.7
1928,12,5.4
1929,1,2.6
1929,2,2.9
1929,3,7.1
1929,4,12.6
1929,5,15.9
1929,6,20.6
1929,7,25.9
1929,8,27.1
1929,9,20.5
1929,10,16.5
1929,11,11.0
1929,12,8.6
1930,1,3.8
1930,2,5.4
1930,3,8.8
1930,4,14.0
1930,5,17.7
1930,6,21.4
1930,7,26.3
1930,8,26.8
1930,9,21.5
1930,10,16.7
1930,11,10.3
1930,12,5.2
1931,1,2.9
1931,2,2.5
1931,3,7.9
1931,4,12.4
1931,5,16.3
1931,6,20.4
1931,7,21.8
1931,8,26.4
1931,9,22.5
1931,10,16.3
1931,11,11.5
1931,12,6.9
1932,1,5.9
1932,2,4.3
1932,3,6.9
1932,4,12.3
1932,5,18.0
1932,6,19.8
1932,7,25.7
1932,8,26.7
1932,9,21.8
1932,10,16.5
1932,11,10.9
1932,12,6.0
1933,1,3.2
1933,2,3.6
1933,3,5.8
1933,4,12.3
1933,5,18.1
1933,6,21.9
1933,7,26.6
1933,8,27.5
1933,9,23.1
1933,10,16.8
1933,11,11.2
1933,12,6.2
1934,1,2.5
1934,2,4.0
1934,3,6.1
1934,4,11.5
1934,5,17.8
1934,6,22.0
1934,7,23.9
1934,8,26.1
1934,9,21.6
1934,10,14.6
1934,11,10.8
1934,12,5.9
1935,1,3.7
1935,2,4.8
1935,3,7.1
1935,4,12.5
1935,5,16.7
1935,6,21.5
1935,7,24.3
1935,8,24.8
1935,9,20.8
1935,10,17.1
1935,11,10.7
1935,12,5.5
1936,1,2.0
1936,2,2.5
1936,3,6.1
1936,4,12.0
1936,5,16.4
1936,6,21.4
1936,7,24.9
1936,8,26.5
